gender,label:de,label:en,label:el,label:el:norm,alternatives,Nom Sg,Gen Sg,Dat Sg,Akk Sg,Voc Sg,nomina insignia,source,note,factgrid,label:lat
m,Theophorus,Theophorus,Θεοφόρος,θεοφορος,,Θεοφόρος,Θεοφορου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165934,
m,Ignatius,Ignatius,Ἰγνάτιος,ιγνατιος,,Ἰγνάτιος,Ιγνατιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165935,
m,Hesekiel,Ezekiel,Ἰεζεκιήλ,ιεζεκιηλ,Ἰεζεκίηλος,Ἰεζεκιήλ,Ἰεζεκιήλ,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165936,
m,Hieronymus,Hieronymus,Ἱερώνυμος,ιερωνυμος,,Ἱερώνυμος,Ἱερωνυμου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165939,
f,Judith,Judith,Ἰουδίθ,ιουδιθ,,Ἰουδίθ,Ἰουδίθ,,,,,Bauer,0 mal im Ausgangstext,,
f,Juthine,Juthine?,Ἰουθίνη,ιουθινη,"Εὐθίνη,Εὐθήνη ",Ἰουθίνη,Ιουθινης,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165942,
m,Isokrates,Isocrates,Ἰσοκράτης,ισοκρατης,,Ἰσοκράτης,Ισοκρατους,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165945,
m,Cestus,Cestus?,Κέστος,κεστος,Κέσκος,Κέστος,Κεστου,,,,,Bauer,0 mal im Ausgangstext,,
m,Kleobios,Kleobios?,Κλεόβιος,κλεοβιος,,Κλεόβιος,Κλεοβιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165965,
m,Quadratus,Quadratus?,Κοδρᾶτος,κοδρατος,,Κοδρᾶτος,Κοδρατου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165974,
m,Quintus,Quintus,Κόϊντος,κοιντος,,Κόϊντος,Κοιντου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165975,
m,Crocus,Crocus,Κρόκος,κροκος,,Κρόκος,Κροκου,,,,,Bauer,0 mal im Ausgangstext,,
m,Laban,Laban,Λαβάν,λαβαν,Λάβανος,Λαβάν,"Λαβάν,Λαβανου",,,,,Bauer,0 mal im Ausgangstext,,
m,Longinus,Longinus,Λογγῖνος,λογγινος,,Λογγῖνος,Λογγινου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165984,
m,Longus,Longus,Λόγγος,λογγος,,Λόγγος,Λογγου,,,,,Bauer,0 mal im Ausgangstext,,
m,Manaïmos,Manaïmos?,Μανάϊμος,μαναιμος,Μανάημος,Μανάϊμος,"Μαναΐμου,Μαναημου",,,,,Bauer,0 mal im Ausgangstext,,
m,Maximus,Maximus,Μάξιμος,μαξιμος,,Μάξιμος,Μαξιμου,,,,,Bauer,0 mal im Ausgangstext,,
m,Marcion,Marcion,Μαρκίων,μαρκιων,"Μάρκου,Μαρκιανοῦ",Μαρκίων,Μαρκιωνος,,,,,Bauer,0 mal im Ausgangstext,,
f,Myrte,Myrte?,Μύρτη,μυρτη,,Μύρτη,Μυρτης,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165959,
m,Niketes,Nicetes,Νικήτης ,νικητης,,Νικήτης ,Νικητου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165960,
m,Xenon,Xenon?,Ξένων ,ξενων,,Ξένων ,Ξενωνος ,,,,,Bauer,0 mal im Ausgangstext,,
m,Holofernes,Holofernes ,Ὀλοφέρνης ,ολοφερνης,,Ὀλοφέρνης ,Ολοφερνου ,,,,,Bauer,0 mal im Ausgangstext,,
m,Valerius,Valerius,Οὐαλέριος ,ουαλεριος,,Οὐαλέριος ,Ουαλεριου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166026,
m,Papias,Papias,Παπίας ,παπιας,,Παπίας ,"Παπια,Παπιου ",,,,,Bauer,0 mal im Ausgangstext,,
m,Petronius,Petronius,Πετρώνιος ,πετρωνιος,,Πετρώνιος ,Πετρωνιου ,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166039,
m,Pionius,Pionius,Πιόνιος ,πιονιος,,Πιόνιος ,Πιονιου,,,,,Bauer,0 mal im Ausgangstext,,
m,Polybius,Polybius ,Πολύβιος ,πολυβιος,,Πολύβιος ,Πολυβιου,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165708,
m,Polykarp,Polycarp,Πολύκαρπος ,πολυκαρπος,,Πολύκαρπος ,Πολυκαρπου ,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q165715,
m,Rheus,Rheus,Ῥέος,ρεος,,Ῥέος,Ῥεου,,,,,Bauer,0 mal im Ausgangstext,,
m,Statius,Statius,Στάτιος ,στατιος,,Στάτιος ,Στατιου,,,,,Bauer,0 mal im Ausgangstext,,
m,Sokrates,Socrates,Σωκράτης ,σωκρατης,Ἰσοκράτης ,Σωκράτης ,Σωκρατους,,,,,Bauer,0 mal im Ausgangstext,,
f,Tavia,Tavia?,Ταουΐα ,ταουια,"Ταουις,Ταουεις,Γαουΐα ",Ταουΐα ,Ταουιας,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166136,
m,Tertullus,Tertullus,Τέρτουλλος ,τερτουλλος,,Τέρτουλλος ,Τερτουλλου,,,,,Bauer,0 mal im Ausgangstext,,
m,Philo ,Philo ,Φίλων ,φιλων,,Φίλων ,Φιλωνος,,,,,Bauer,0 mal im Ausgangstext,,
m,Fronto,Fronto,Φρόντων ,φροντων,,Φρόντων ,Φροντωνος,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166146,
m,Og,Og,Ὤγ ,ωγ,Ὤγης ,Ὤγ ,Ὤγ ,,,,,Bauer,0 mal im Ausgangstext,https://database.factgrid.de/entity/Q166141,
m,Patroklos ,Patroclus,Πάτροκλος ,πατροκλος,,Πάτροκλος ,Πατροκλου,,,,,Bauer,0 mal im Ausgangstext (im Bauer dazu keine Angabe),,
m,Abiram,Abiram,Ἀβειρών,αβειρων,"Ἀβιρών,Ἀβίραμος",Ἀβειρών,"Ἀβειρών,Ἀβιρων,Ἀβιραμου",,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Abiron",,
m,Amazja,Amaziah,Ἀμασίας,αμασιας,,Ἀμασίας,Αμασιου,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Amasja",https://database.factgrid.de/entity/Q166144,
m,Asarja,Azariah,Ἀζαρίας,αζαριας,,Ἀζαρίας,Αζαριου,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Azaria",https://database.factgrid.de/entity/Q166147,
m,Ephebus,Ephebus,Ἔφηβος,εφηβος,,Ἔφηβος,Εφηβου,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Ephebus",,
m,Mischaël,Mishael,Μισαήλ,μισαηλ,Μισάηλος,Μισαήλ,Μισαήλ,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Misael",,
m,Medad,Medad,Μωδάτ,μωδατ,,Μωδάτ,Μωδάτ,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Modat",,
m,Nun,Nun,Ναυή,ναυη,Νούμ,Ναυή,Ναυή,,,,,Bauer,"0 mal im Ausgangstext,im Bauer als Nave",,
