label:en|gender|label:el|alternatives|Nom Sg|Gen Sg|Dat Sg|Akk Sg|Voc Sg|factgrid
Drusilla|f|Δρούσιλλα|δροσιλλη,δρουσηλλη,δρουσιλλι,δρυσιλλη,δρουσιλη,δροσουλη,δρουσιλλη|||Δρουσίλλῃ|||https://database.factgrid.de/entity/Q166422
Eleazar, son of Eliud|m|Ἐλεάζαρ|ελιαζαρ|Ἐλεάζαρ|||Ἐλεάζαρ||https://database.factgrid.de/entity/Q166470
Elia|m|Ηλιας|||||||
Eliakim|m|Ἐλιακίμ||Ἐλιακίμ|Ἐλιακίμ||Ἐλιακίμ||https://database.factgrid.de/entity/Q166488,https://database.factgrid.de/entity/Q166489
Eliezer, son of Jorim|m|Ἐλιέζερ|||Ἐλιέζερ||||https://database.factgrid.de/entity/Q166527
Elisa|m|Ελισαιε|""||||||
Elisabeth|f|Ελισάβετ|ελεισαβετ,ελισαβεδ,ελεισαβεθ,ελησαβεθ,ελισαβεθ,ελισαβuτ,ελισαβετ||||||https://database.factgrid.de/entity/Q166557
Eliud, son of Achim|m|Ἐλιούδ||Ἐλιοὺδ|||Ἐλιοὺδ||https://database.factgrid.de/entity/Q166571
Elmodam, son of Er|m|Ελμαδαμ|||||||https://database.factgrid.de/entity/Q166583
Elymas|m|Ἐλύμας||Ἐλύμας|||||
Emmanuel|m|Ἐμμανουήλ||Ἐμμανουήλ|||Ἐμμανουήλ||
Emmaus|m|Ἐμμαοῦς||Emmaus|||||
Enos|m|Ἐνώς|||Ἐνὼς||||
Epaenetus|m|Ἐπαίνετος||Ἐπαίνετος|||Ἐπαίνετον||https://database.factgrid.de/entity/Q166607
Epaphras|m|Ἐπαφρᾶς||Ἐπαφρᾶς|Ἐπαφρᾶ||||https://database.factgrid.de/entity/Q166608
Epaphroditus|m|Ἐπαφρόδιτος||Ἐπαφρόδιτος|Ἐπαφροδίτου||Ἐπαφρόδιτον||https://database.factgrid.de/entity/Q166609
Ephraim|m|Ἐφραίμ|||||Ἐφραὶμ||
Er, son of Jose|m|Ἤρ|||Ἢρ||||https://database.factgrid.de/entity/Q166625
Erastus|m|Ἔραστος||Ἔραστος|||Ἔραστον||https://database.factgrid.de/entity/Q166627
Esau|m|Ἠσαῦ||Ἠσαῦ|||Ἠσαῦ||
Esli, son of Nagge|m|Ἑσλί|||Ἑσλὶ||||https://database.factgrid.de/entity/Q166638
Eubulus|m|Εὔβουλος||Εὔβουλος|||||https://database.factgrid.de/entity/Q166648
Eunice, daugher of Lois|f|Εὐνίκη||||Εὐνίκῃ|||https://database.factgrid.de/entity/Q166649
Euodias|f|Ευοδια|||||||https://database.factgrid.de/entity/Q166650
Eutychus|m|Εὔτυχος||Εὔτυχος|||||https://database.factgrid.de/entity/Q166651
