label:en|gender|label:el|alternatives|Nom Sg|Gen Sg|Dat Sg|Akk Sg|Voc Sg|factgrid
Simon|m|Σιμων|Κηφᾶς||Σίμωνος|Σίμωνι|Σίμωνα,Σίμωνά||https://database.factgrid.de/entity/Q168755,https://database.factgrid.de/entity/Q168758,https://database.factgrid.de/entity/Q168129,https://database.factgrid.de/entity/Q168756,https://database.factgrid.de/entity/Q168754,https://database.factgrid.de/entity/Q166310,https://database.factgrid.de/entity/Q168762,https://database.factgrid.de/entity/Q168757
Simson|m|Σαμψων|||||||
Solomon|m|Σολομῶν||Σολομῶν|Σολομῶντος||||
Sopater|m|Σώπατρος||Σώπατρος|||||https://database.factgrid.de/entity/Q168780
Sosthenes|m|Σωθένης||Σωσθένης|||Σωσθένην||https://database.factgrid.de/entity/Q168783
Stachys|m|Σταχυς||||στάχυϊ|στάχυν||https://database.factgrid.de/entity/Q168785
Stephanas|m|Στεφανᾶς|||Στεφανᾶ||||https://database.factgrid.de/entity/Q168786
Stephen|m|Στέφανος||στέφανός|||στέφανόν|στέφανός|https://database.factgrid.de/entity/Q168787
Susanna|f|Σουσάννα|σωσαννα|Σουσάννα|||||https://database.factgrid.de/entity/Q168789
Syntyche|f|Συντύχη|συντοιχην,συντυχιαν,συντυχιν||||Συντύχην||https://database.factgrid.de/entity/Q168792
Tabitha|f|Ταβιθά|θαβιθα,ταβηθα,βιθα|Ταβιθά||||Ταβιθά|https://database.factgrid.de/entity/Q166421
Tertius|m|Τέρτιος||Τέρτιος|||||https://database.factgrid.de/entity/Q168831
Tertullus|m|Τέρτουλλος|Τέρτυλλος||Τερτύλλου||||https://database.factgrid.de/entity/Q168832
Thaddaeus (Lebbaeus), disciple of Jesus of Nazareth|m|Θαδδαῖος||Θαδδαῖος|||Θαδδαῖον||
Thamar|m|Θαμαρ|||||||
Theophilus|m|Θεόφιλος||||||Θεόφιλε|https://database.factgrid.de/entity/Q168840
Theudas|m|Θευδᾶς||Θευδᾶς|||||https://database.factgrid.de/entity/Q168841
thief (1) crucified with Jesus of Nazareth (evtl. Gestas)|m||||||||https://database.factgrid.de/entity/Q169776
thief (2) crucified with Jesus of Nazareth|m||||||||https://database.factgrid.de/entity/Q169777
Thomas (Didymus), disciple of Jesus of Nazareth|m|Θωμᾶς|θωμασ|Θωμᾶς||Θωμᾷ|Θωμᾶν||https://database.factgrid.de/entity/Q166406
Tiberius|m|Τιβέριος|||Τιβερίου||||https://database.factgrid.de/entity/Q168843
Timaeus|m|Τιμαῖος|||Τιμαίου||||https://database.factgrid.de/entity/Q168852
Timon|m|Τίμων|||||Τίμωνα||https://database.factgrid.de/entity/Q168856
Timothy, son of Eunice|m|Τιμόθεος||Τιμόθεος|Τιμοθέου|Τιμοθέῳ|Τιμόθεον|Τιμόθεε|https://database.factgrid.de/entity/Q168857
Titus|m|Τίτος||Τίτος|Τίτου|Τίτῳ|Τίτον||https://database.factgrid.de/entity/Q168863
Trophimus|m|Τρόφιμος||Τρόφιμος|||Τρόφιμον||https://database.factgrid.de/entity/Q168876
Tryphaena|m|Τρύφαινα|||||Τρύφαιναν||https://database.factgrid.de/entity/Q168877
Tryphosa|m|Τρυφῶσα|||||Τρυφῶσαν||https://database.factgrid.de/entity/Q168878
Tychicus|m|Τυχικός||Τυχικὸς|||Τυχικόν,Τυχικὸν||https://database.factgrid.de/entity/Q168881
Tyrannus|m|Τύραννος|||Τυράννου||||https://database.factgrid.de/entity/Q168882
Urbanus|m|Οὐρβανός|||||Οὐρβανὸν||https://database.factgrid.de/entity/Q168891
Uria|m|Οὐρίας|||Οὐρίου||||
Wife of Caiaphas|f||||||||https://database.factgrid.de/entity/Q168942
Wife of Simon-Peter|f||||||||https://database.factgrid.de/entity/Q168946
Woman of Nein who lived a sinful life|f||||||||https://database.factgrid.de/entity/Q636485
Zacchaeus|m|Ζακχαῖος||Ζακχαῖος||||Ζακχαῖε|https://database.factgrid.de/entity/Q168967
Zacharias|m|Ζαχαρίας|||||||https://database.factgrid.de/entity/Q168977
Zebaoth|m|Σαβαωθ|||||||
Zebedee|m|Ζεβεδαῖος|||Ζεβεδαίου||Ζεβεδαῖον||https://database.factgrid.de/entity/Q169008
Zenas|m|Ζηνᾶς|||||ζηνᾶν||https://database.factgrid.de/entity/Q169052
Zeno|m|Ζηνων|||||||
Zerah, son of Judah and Tamar|m|Ζάρα|||||Ζάρα||https://database.factgrid.de/entity/Q168992
Zeus|m|Ζευς|||Διὸς||Δία||
Zorobabel|m|Ζοροβαβελ|||||||https://database.factgrid.de/entity/Q169129
Preiscas|m|πρεισκας|πρεισκαν||||||
